City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Airai,TL,-8.9266,125.4092,58.86,75,98,2.48,overcast clouds
80,Vaini,TO,-21.2,-175.2,75.36,94,20,2.3,few clouds
81,Jamestown,US,42.097,-79.2353,42.39,50,100,12.66,overcast clouds
82,Ponta Do Sol,PT,32.6667,-17.1,68.72,66,59,5.79,broken clouds
83,Ostrovnoy,RU,68.0531,39.5131,37.2,99,100,19.84,overcast clouds
84,Naryan-Mar,RU,67.6713,53.087,33.96,97,100,16.49,overcast clouds
85,East London,ZA,-33.0153,27.9116,63.54,94,75,9.22,broken clouds
86,Moen,NO,69.1304,18.6123,41.72,56,75,3.44,broken clouds
87,Ixtapa,MX,20.7,-105.2,72.63,78,0,0.0,clear sky
88,Marzuq,YE,14.4,46.4667,74.61,38,14,12.5,few clouds
89,Padrauna,IN,26.9025,83.9819,85.82,26,3,9.6,clear sky
90,Samarai,PG,-10.6167,150.6667,82.69,78,100,17.22,overcast clouds
91,Tuatapere,NZ,-46.1333,167.6833,45.39,89,49,4.63,scattered clouds
92,Inhambane,MZ,-23.865,35.3833,76.98,69,40,9.22,drizzle
93,Rawson,AR,-43.3002,-65.1023,62.11,75,73,20.4,light rain
94,Hasaki,JP,35.7333,140.8333,55.8,84,0,11.88,clear sky
95,Isangel,VU,-19.55,169.2667,80.42,84,100,9.75,overcast clouds
96,Meylan,FR,45.2199,5.7901,48.58,72,84,5.79,broken clouds
97,New Norfolk,AU,-42.7826,147.0587,64.92,66,45,2.68,scattered clouds
98,Kruisfontein,ZA,-34.0033,24.7314,63.88,85,88,16.24,light rain
99,Banjar,ID,-8.19,114.9675,77.43,90,32,3.69,scattered clouds
100,Victoria,HK,22.2855,114.1577,74.17,74,0,8.99,clear sky
101,Hilo,US,19.7297,-155.09,69.53,83,75,5.75,broken clouds
102,Palmer,US,42.1584,-72.3287,53.92,78,100,6.91,moderate rain
103,Philippeville,BE,50.1957,4.5417,52.16,77,75,13.8,broken clouds
104,Arlit,NE,18.7369,7.3853,107.15,3,5,9.31,clear sky
105,Tiksi,RU,71.6872,128.8694,-12.21,100,100,3.06,overcast clouds
106,Paita,PE,-5.0892,-81.1144,74.84,70,100,6.33,overcast clouds
107,Mount Isa,AU,-20.7333,139.5,69.57,37,7,1.14,clear sky
108,Inta,RU,66.0317,60.1659,24.96,80,92,10.69,overcast clouds
109,Thompson,CA,55.7435,-97.8558,35.76,48,100,6.91,overcast clouds
110,Mount Gambier,AU,-37.8333,140.7667,58.91,77,17,9.22,few clouds
111,West Bromwich,GB,52.5187,-1.9945,52.0,53,40,10.36,scattered clouds
112,Pevek,RU,69.7008,170.3133,-23.06,100,86,6.38,overcast clouds
113,Folkestone,GB,51.0833,1.1833,53.98,55,76,11.61,broken clouds
114,Naze,JP,28.3667,129.4833,65.32,80,4,10.16,clear sky
115,Vestmanna,FO,62.1564,-7.1664,34.72,64,75,4.61,broken clouds
116,Mutsu,JP,41.2894,141.2169,48.15,90,22,10.22,few clouds
117,Abu Kamal,SY,34.4506,40.9171,75.38,24,0,10.2,clear sky
118,Kandrian,PG,-6.2167,149.55,76.06,90,100,4.27,overcast clouds
119,Hambantota,LK,6.1241,81.1185,79.5,82,100,10.07,overcast clouds
120,Severodvinsk,RU,64.5635,39.8302,44.71,83,61,9.89,broken clouds
121,Benjamin Constant,BR,-4.3831,-70.0311,84.33,78,40,0.0,scattered clouds
122,Torit,SS,4.4133,32.5678,91.29,27,86,6.51,overcast clouds
123,Loandjili,CG,-4.7561,11.8578,86.11,74,20,8.05,few clouds
124,Vardo,NO,70.3705,31.1107,35.74,97,100,29.89,overcast clouds
125,Goba,ET,7.0167,39.9833,55.4,79,83,4.94,light rain
126,Xining,CN,36.6167,101.7667,55.98,9,71,2.13,broken clouds
127,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,82,40,4.61,scattered clouds
128,Bethel,US,41.3712,-73.414,53.69,74,100,5.01,overcast clouds
129,Lerwick,GB,60.1545,-1.1494,39.2,58,99,24.72,overcast clouds
130,Fukue,JP,32.6881,128.8419,62.37,80,3,6.53,clear sky
131,Smithers,CA,54.7804,-127.1743,28.72,80,20,2.3,few clouds
132,Port Lincoln,AU,-34.7333,135.8667,68.2,64,37,7.65,scattered clouds
133,Barrow,US,71.2906,-156.7887,-20.18,69,0,3.44,clear sky
134,Leningradskiy,RU,69.3833,178.4167,-23.73,97,58,4.52,broken clouds
135,Karasjok,NO,69.4719,25.5112,34.68,98,100,23.17,overcast clouds
136,Vieste,IT,41.8825,16.175,62.89,66,90,13.4,overcast clouds
137,Severo-Kurilsk,RU,50.6789,156.125,24.6,77,27,4.52,scattered clouds
138,Rosarito,MX,32.3333,-117.0333,74.66,59,97,4.85,overcast clouds
139,Tucurui,BR,-3.7661,-49.6725,86.34,70,93,1.39,overcast clouds
140,Zhangye,CN,38.9342,100.4517,62.89,17,100,2.13,overcast clouds
141,Cabo San Lucas,MX,22.8909,-109.9124,72.05,82,0,12.66,clear sky
142,Dingle,PH,10.9995,122.6711,75.47,88,100,3.56,overcast clouds
143,Penticton,CA,49.4806,-119.5858,43.74,65,75,8.05,broken clouds
144,Huanren,CN,41.2647,125.3667,53.06,83,100,6.22,overcast clouds
145,Tsiroanomandidy,MG,-18.7667,46.0333,71.83,83,95,1.48,overcast clouds
